ADATE,Year,Month,Day,Anamolytype,Anamoly,Date_x,Kp,ap,Date_y
1984-07-15,1984,7,15,ESD,1,1984-07-15,3.79175,24.875,1984-07-15
1984-07-17,1984,7,17,ESD,1,1984-07-17,4.70825,42.75,1984-07-17
1984-08-05,1984,8,5,ESD,1,1984-08-05,1.83325,7.25,1984-08-05
1984-09-11,1984,9,11,ESD,1,1984-09-11,3.083375,16.625,1984-09-11
1984-09-24,1984,9,24,ESD,1,1984-09-24,5.08325,52.25,1984-09-24
1984-09-27,1984,9,27,ESD,1,1984-09-27,3.83325,25.0,1984-09-27
1984-10-07,1984,10,7,ESD,1,1984-10-07,4.625,42.875,1984-10-07
1984-10-09,1984,10,9,ESD,1,1984-10-09,3.3748750000000003,19.75,1984-10-09
1984-10-10,1984,10,10,ESD,1,1984-10-10,3.999875,29.0,1984-10-10
1984-10-11,1984,10,11,ESD,1,1984-10-11,3.91675,27.625,1984-10-11
1984-10-12,1984,10,12,ESD,1,1984-10-12,4.166625,32.5,1984-10-12
1984-10-13,1984,10,13,ESD,1,1984-10-13,2.916625,17.0,1984-10-13
1984-10-14,1984,10,14,UNK,1,1984-10-14,2.75,14.75,1984-10-14
1984-10-17,1984,10,17,ESD,1,1984-10-17,0.750125,3.25,1984-10-17
1984-10-22,1984,10,22,ESD,1,1984-10-22,4.916625,46.25,1984-10-22
1984-10-23,1984,10,23,ESD,1,1984-10-23,4.0,27.375,1984-10-23
1984-10-24,1984,10,24,ESD,1,1984-10-24,4.625125,39.25,1984-10-24
1984-10-25,1984,10,25,ESD,1,1984-10-25,3.375,22.375,1984-10-25
1984-11-02,1984,11,2,ESD,1,1984-11-02,2.416625,12.125,1984-11-02
1984-11-07,1984,11,7,ESD,1,1984-11-07,3.166625,19.875,1984-11-07
1984-11-19,1984,11,19,ESD,1,1984-11-19,3.4585,20.75,1984-11-19
1984-11-24,1984,11,24,ESD,1,1984-11-24,2.250125,9.5,1984-11-24
1984-11-26,1984,11,26,ESD,1,1984-11-26,1.916625,8.0,1984-11-26
1984-12-04,1984,12,4,ESD,1,1984-12-04,3.875125,27.75,1984-12-04
1984-12-05,1984,12,5,UNK,1,1984-12-05,3.41675,19.75,1984-12-05
1984-12-06,1984,12,6,ESD,1,1984-12-06,3.666625,22.375,1984-12-06
1984-12-13,1984,12,13,ESD,1,1984-12-13,3.666625,27.125,1984-12-13
1984-12-17,1984,12,17,ESD,1,1984-12-17,4.041625,28.0,1984-12-17
1985-01-10,1985,1,10,ESD,1,1985-01-10,4.041625,29.125,1985-01-10
1985-01-13,1985,1,13,ESD,1,1985-01-13,2.875,14.25,1985-01-13
1985-01-21,1985,1,21,UNK,1,1985-01-21,2.375,12.25,1985-01-21
1985-01-23,1985,1,23,ESD,1,1985-01-23,4.333375,36.5,1985-01-23
1985-01-26,1985,1,26,ESD,1,1985-01-26,1.583375,6.25,1985-01-26
1985-01-29,1985,1,29,ESD,1,1985-01-29,3.25,24.5,1985-01-29
1985-01-31,1985,1,31,ESD,1,1985-01-31,2.95825,15.25,1985-01-31
1985-02-01,1985,2,1,ESD,1,1985-02-01,2.91675,15.0,1985-02-01
1985-02-07,1985,2,7,ESD,1,1985-02-07,3.416625,20.0,1985-02-07
1985-02-09,1985,2,9,UNK,1,1985-02-09,3.33325,19.25,1985-02-09
1985-02-12,1985,2,12,ESD,1,1985-02-12,2.333375,10.75,1985-02-12
1985-02-13,1985,2,13,ESD,1,1985-02-13,1.958375,10.625,1985-02-13
1985-02-14,1985,2,14,ESD,1,1985-02-14,3.000125,15.75,1985-02-14
1985-02-17,1985,2,17,ESD,1,1985-02-17,2.58325,12.25,1985-02-17
1985-02-18,1985,2,18,UNK,1,1985-02-18,0.958375,3.875,1985-02-18
1985-02-27,1985,2,27,ESD,1,1985-02-27,2.29175,19.25,1985-02-27
1985-02-28,1985,2,28,UNK,1,1985-02-28,4.875,60.0,1985-02-28
1985-03-02,1985,3,2,ESD,1,1985-03-02,3.541625,21.5,1985-03-02
1985-03-06,1985,3,6,ESD,1,1985-03-06,3.708375,23.875,1985-03-06
1985-03-10,1985,3,10,ESD,1,1985-03-10,2.16675,9.75,1985-03-10
1985-04-03,1985,4,3,ESD,1,1985-04-03,3.3335,20.25,1985-04-03
1985-04-09,1985,4,9,ESD,1,1985-04-09,4.0832500000000005,37.5,1985-04-09
1985-04-28,1985,4,28,ESD,1,1985-04-28,4.750249999999999,61.375,1985-04-28
1985-06-15,1985,6,15,UNK,1,1985-06-15,1.16675,5.125,1985-06-15
1985-07-07,1985,7,7,ESD,1,1985-07-07,3.291625,18.75,1985-07-07
1985-07-13,1985,7,13,ESD,1,1985-07-13,3.208375,20.25,1985-07-13
1985-07-21,1985,7,21,ESD,1,1985-07-21,1.291875,4.875,1985-07-21
1985-09-18,1985,9,18,UNK,1,1985-09-18,1.416875,5.25,1985-09-18
1985-09-26,1985,9,26,ESD,1,1985-09-26,3.000125,18.875,1985-09-26
1985-09-27,1985,9,27,ESD,1,1985-09-27,3.0,17.125,1985-09-27
1985-12-07,1985,12,7,UNK,1,1985-12-07,1.25,4.75,1985-12-07
1985-12-09,1985,12,9,UNK,1,1985-12-09,1.374875,5.375,1985-12-09
1985-12-16,1985,12,16,UNK,1,1985-12-16,1.5,6.125,1985-12-16
1985-12-20,1985,12,20,UNK,1,1985-12-20,2.16675,11.0,1985-12-20
1985-12-21,1985,12,21,UNK,1,1985-12-21,1.20825,4.75,1985-12-21
1986-01-03,1986,1,3,ESD,1,1986-01-03,2.125,9.5,1986-01-03
1986-01-21,1986,1,21,ESD,1,1986-01-21,3.29175,26.875,1986-01-21
1986-01-25,1986,1,25,ESD,1,1986-01-25,3.750125,25.875,1986-01-25
1986-02-04,1986,2,4,ESD,1,1986-02-04,1.20825,4.625,1986-02-04
1986-02-07,1986,2,7,ESD,1,1986-02-07,5.416875,82.25,1986-02-07
1986-02-09,1986,2,9,ESD,1,1986-02-09,5.875,99.875,1986-02-09
1986-02-11,1986,2,11,ESD,1,1986-02-11,3.250125,19.875,1986-02-11
1986-02-12,1986,2,12,ESD,1,1986-02-12,3.291875,18.375,1986-02-12
1986-02-15,1986,2,15,ESD,1,1986-02-15,1.25,4.875,1986-02-15
1986-03-04,1986,3,4,ESD,1,1986-03-04,2.16675,8.375,1986-03-04
1986-03-07,1986,3,7,ESD,1,1986-03-07,4.25,32.625,1986-03-07
1986-03-10,1986,3,10,ESD,1,1986-03-10,0.45825,2.125,1986-03-10
1986-03-15,1986,3,15,ESD,1,1986-03-15,1.95825,8.25,1986-03-15
1986-03-22,1986,3,22,ESD,1,1986-03-22,3.375,21.5,1986-03-22
1986-03-26,1986,3,26,ESD,1,1986-03-26,2.583375,12.25,1986-03-26
1986-03-29,1986,3,29,ESD,1,1986-03-29,1.91675,8.0,1986-03-29
1986-08-23,1986,8,23,ESD,1,1986-08-23,3.791625,25.0,1986-08-23
1986-08-24,1986,8,24,ESD,1,1986-08-24,3.4998750000000003,22.0,1986-08-24
1986-09-19,1986,9,19,ESD,1,1986-09-19,3.33325,21.375,1986-09-19
1986-09-23,1986,9,23,ESD,1,1986-09-23,4.66675,43.125,1986-09-23
1987-01-10,1987,1,10,ESD,1,1987-01-10,1.458375,5.5,1987-01-10
1987-02-23,1987,2,23,ESD,1,1987-02-23,2.875,14.125,1987-02-23
1987-03-09,1987,3,9,ESD,1,1987-03-09,1.83325,8.75,1987-03-09
1987-08-14,1987,8,14,UNK,1,1987-08-14,3.041625,15.75,1987-08-14
1987-09-02,1987,9,2,ESD,1,1987-09-02,2.541625,12.0,1987-09-02
1987-09-12,1987,9,12,ESD,1,1987-09-12,3.541625,21.5,1987-09-12
1987-09-14,1987,9,14,ESD,1,1987-09-14,3.79175,26.0,1987-09-14
1987-09-19,1987,9,19,ESD,1,1987-09-19,0.833375,3.375,1987-09-19
1987-09-29,1987,9,29,ESD,1,1987-09-29,3.958375,29.625,1987-09-29
1987-09-30,1987,9,30,ESD,1,1987-09-30,4.583375,42.625,1987-09-30
1987-10-02,1987,10,2,ESD,1,1987-10-02,1.916625,8.75,1987-10-02
1987-10-20,1987,10,20,ESD,1,1987-10-20,1.70825,8.0,1987-10-20
1987-10-28,1987,10,28,ESD,1,1987-10-28,4.791625,44.5,1987-10-28
1987-11-26,1987,11,26,ESD,1,1987-11-26,3.125,16.625,1987-11-26
1987-11-28,1987,11,28,ESD,1,1987-11-28,2.20825,8.75,1987-11-28
1988-01-03,1988,1,3,ESD,1,1988-01-03,1.749875,6.875,1988-01-03
1988-01-05,1988,1,5,ESD,1,1988-01-05,2.75,14.25,1988-01-05
1988-02-19,1988,2,19,ESD,1,1988-02-19,1.791625,7.0,1988-02-19
1988-02-26,1988,2,26,ESD,1,1988-02-26,2.125125,8.875,1988-02-26
1988-03-15,1988,3,15,ESD,1,1988-03-15,3.33325,19.5,1988-03-15
1988-03-20,1988,3,20,ESD,1,1988-03-20,1.333375,6.0,1988-03-20
1988-05-24,1988,5,24,ESD,1,1988-05-24,1.958375,7.625,1988-05-24
1988-06-23,1988,6,23,ESD,1,1988-06-23,2.08325,8.25,1988-06-23
1988-07-03,1988,7,3,UNK,1,1988-07-03,1.79175,6.875,1988-07-03
1988-08-11,1988,8,11,UNK,1,1988-08-11,2.125,8.25,1988-08-11
1988-09-13,1988,9,13,UNK,1,1988-09-13,2.416625,10.375,1988-09-13
1988-09-25,1988,9,25,ESD,1,1988-09-25,2.4165,11.625,1988-09-25
1988-12-04,1988,12,4,ESD,1,1988-12-04,2.29175,10.5,1988-12-04
1988-12-19,1988,12,19,ESD,1,1988-12-19,3.41675,20.5,1988-12-19
1988-12-20,1988,12,20,ESD,1,1988-12-20,1.791625,6.625,1988-12-20
1988-12-24,1988,12,24,ESD,1,1988-12-24,1.166625,4.5,1988-12-24
