ADATE,Year,Month,Day,Anamolytype,Anamoly,Kp,ap,Date
1963-05-15,1963,5,15,NA,0,1.375125,5.5,1963-05-15
1963-05-16,1963,5,16,NA,0,0.708125,3.625,1963-05-16
1963-05-17,1963,5,17,NA,0,1.583375,6.375,1963-05-17
1963-05-18,1963,5,18,NA,0,0.7917500000000001,3.25,1963-05-18
1963-05-19,1963,5,19,NA,0,1.2085,4.875,1963-05-19
1963-05-20,1963,5,20,NA,0,1.41675,7.625,1963-05-20
1963-05-21,1963,5,21,NA,0,1.0,4.625,1963-05-21
1963-05-22,1963,5,22,NA,0,0.625,2.875,1963-05-22
1963-05-23,1963,5,23,NA,0,0.625,2.75,1963-05-23
1963-05-24,1963,5,24,NA,0,0.33325,1.75,1963-05-24
1963-05-25,1963,5,25,NA,0,2.0,8.0,1963-05-25
1963-05-26,1963,5,26,NA,0,1.541625,6.25,1963-05-26
1963-05-27,1963,5,27,NA,0,1.708375,7.0,1963-05-27
1963-05-28,1963,5,28,NA,0,2.875125,15.625,1963-05-28
1963-05-29,1963,5,29,NA,0,2.875125,20.75,1963-05-29
1963-05-30,1963,5,30,NA,0,2.29175,11.875,1963-05-30
1963-05-31,1963,5,31,NA,0,1.958375,9.0,1963-05-31
1963-06-01,1963,6,1,NA,0,2.4998750000000003,11.25,1963-06-01
1963-06-02,1963,6,2,NA,0,2.33325,10.0,1963-06-02
1963-06-03,1963,6,3,NA,0,1.7085,6.25,1963-06-03
1963-06-04,1963,6,4,NA,0,1.0835,4.625,1963-06-04
1963-06-05,1963,6,5,NA,0,0.4165,2.125,1963-06-05
1963-06-06,1963,6,6,NA,0,2.0,16.125,1963-06-06
1963-06-07,1963,6,7,NA,0,4.41675,43.125,1963-06-07
1963-06-08,1963,6,8,NA,0,2.54175,12.25,1963-06-08
1963-06-09,1963,6,9,NA,0,2.291625,9.75,1963-06-09
1963-06-10,1963,6,10,NA,0,1.375,5.125,1963-06-10
1963-06-11,1963,6,11,NA,0,1.583125,6.0,1963-06-11
